Adalfieri,Male
Agnola,Female
Agnolo,Male
Allegra,Female
Alma,Female
Amadore,Female
Amerigo,Male
Amita,Female
Aria,Female
Balbina,Female
Bambi,Female
Bellanca,Female
Bonfilia,Female
Bruna,Female
Cameo,Female
Caprice,Female
Carina,Female
Chiara,Female
Chita,Female
Cipriana,Female
Divina,Female
Donna,Female
Egidio,Male
Enrica,Female
Ercole,Male
Esta,Female
Ettore,Male
Fabrizia,Female
Fiammetta,Female
Fiorello,Male
Gaetan,Male
Gaetan,Male
Gaetana,Female
Gemma,Female
Gia,Female
Giacinta,Female
Gianina,Female
Giulia,Female
Giuliano,Male
Giustinia,Female
Guida,Female
Innocenzio,Male
Jocasta,Female
Laudomia,Female
Lucia,Female
Lunetta,Female
Mia,Female
Nuncio,Male
Nunzia,Female
Ortensia,Female
Pino,Male
Primavera,Female
Primo,Male
Rocco,Male
Romeo,Male
Salvatore,Male
Sigismonda,Female
Speranza,Female
Traviata,Female
Vedette,Female
Venetia,Female
Volante,Female
Zaira,Female
Zola,Female
